1	1.0	1.0	1/6	['E3', 'E4']	['P8']	[0]	[4]
1	4/3	0.0625	1/6	['B2', 'B3']	['P8']	[0]	[11]
1	5/3	0.0625	1/6	['E3', 'E4']	['P8']	[0]	[4]
1	2.0	0.5	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
1	7/3	0.0625	1/6	['E3', 'E4']	['P8']	[0]	[4]
1	8/3	0.0625	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
1	3.0	0.5	1/6	['B3', 'B4']	['P8']	[0]	[11]
1	10/3	0.0625	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
1	11/3	0.0625	1/6	['B3', 'B4']	['P8']	[0]	[11]
2	1.0	1.0	1.0	['E4', 'E5']	['P8']	[0]	[4]
2	3.0	0.5	0.5	['A#2', 'C#3', 'G#3', 'E5', 'E6']	['m3', 'm7', 'd19', 'd26', 'P5', 'm17', 'm24', 'm13', 'm20', 'P8']	[0, 2, 5, 8]	[8, 10, 1, 4]
3	1.0	1.0	0.75	['B2', 'E3', 'B3', 'G#4', 'G#5']	['P4', 'P8', 'M13', 'M20', 'P5', 'M10', 'M17', 'M6']	[0, 3, 7]	[4, 8, 11]
3	2.5	0.25	0.25	['B2', 'E3', 'B3', 'A4', 'A5']	['P4', 'P8', 'm14', 'm21', 'P5', 'P11', 'P18', 'm7']	[0, 2, 7]	[9, 11, 4]
3	3.0	0.5	0.5	['B2', 'D#3', 'A3', 'B4', 'B5']	['M3', 'm7', 'P15', 'P22', 'd5', 'm13', 'm20', 'M9', 'M16', 'P8']	[0, 2, 6]	[9, 11, 3]
4	1.0	1.0	1.0	['E2', 'B2', 'G#3', 'E4', 'E5']	['P5', 'M10', 'P15', 'P22', 'M6', 'P11', 'P18', 'm6', 'm13', 'P8']	[0, 3, 7]	[4, 8, 11]
4	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
5	1.0	1.0	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
5	4/3	0.0625	1/6	['B2', 'B3', 'B4']	['P8', 'P15']	[0]	[11]
5	5/3	0.0625	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
5	2.0	0.5	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
5	7/3	0.0625	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
5	8/3	0.0625	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
5	3.0	0.5	1/6	['B3', 'B4']	['P8']	[0]	[11]
5	10/3	0.0625	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
5	11/3	0.0625	1/6	['B3', 'B4']	['P8']	[0]	[11]
6	1.0	1.0	1.0	['E4', 'E5']	['P8']	[0]	[4]
6	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
7	1.0	1.0	1.0	['B1', 'A3', 'D#4', 'F#4', 'B4']	['m14', 'M17', 'P19', 'P22', 'A4', 'M6', 'M9', 'm3', 'm6', 'P4']	[0, 2, 5, 8]	[3, 6, 9, 11]
7	3.0	0.5	0.5	['B1', 'A3', 'D#4', 'F#4', 'B4']	['m14', 'M17', 'P19', 'P22', 'A4', 'M6', 'M9', 'm3', 'm6', 'P4']	[0, 2, 5, 8]	[3, 6, 9, 11]
8	1.0	1.0	1.0	['E2', 'G#3', 'E4', 'G#4']	['M10', 'P15', 'M17', 'm6', 'P8', 'M3']	[0, 4]	[4, 8]
8	3.0	0.5	0.25	['E4']	[]	[0]	[4]
8	3.5	0.25	0.25	['F#4']	[]	[0]	[6]
9	1.0	1.0	1/6	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
9	4/3	0.0625	1/6	['G#2', 'G#3', 'G#4']	['P8', 'P15']	[0]	[8]
9	5/3	0.0625	1/6	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
9	2.0	0.5	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
9	7/3	0.0625	1/12	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
9	2.5	0.25	1/12	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
9	8/3	0.0625	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
9	3.0	0.5	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
9	10/3	0.0625	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
9	11/3	0.0625	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
10	1.0	1.0	0.75	['C#4', 'C#5']	['P8']	[0]	[1]
10	2.5	0.25	0.25	['C#4', 'G#4', 'C#5']	['P5', 'P8', 'P4']	[0, 5]	[8, 1]
10	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
11	1.0	1.0	1.0	['D#3', 'G#3', 'B3', 'D#4', 'B4']	['P4', 'm6', 'P8', 'm13', 'm3', 'P5', 'm10', 'M3']	[0, 3, 7]	[8, 11, 3]
11	3.0	0.5	0.5	['D#2', 'F##3', 'C#4', 'D#4', 'A#4']	['M10', 'm14', 'P15', 'P19', 'd5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[7, 10, 1, 3]
11	1.0	1.0	1.0	['D#4']	[]	[0]	[3]
12	1.0	1.0	1.0	['G#2', 'G#3', 'B3', 'D#4', 'G#4']	['P8', 'm10', 'P12', 'P15', 'm3', 'P5', 'M3', 'M6', 'P4']	[0, 3, 7]	[8, 11, 3]
12	3.0	0.5	0.25	['G#4']	[]	[0]	[8]
12	3.5	0.25	0.25	['G#4']	[]	[0]	[8]
13	1.0	1.0	1/6	['B1', 'B3', 'A4']	['P15', 'm21', 'm7']	[0, 2]	[9, 11]
13	4/3	0.0625	1/6	['B1', 'A3', 'A4']	['m14', 'm21', 'P8']	[0, 2]	[9, 11]
13	5/3	0.0625	1/6	['B1', 'B3', 'A4']	['P15', 'm21', 'm7']	[0, 2]	[9, 11]
13	2.0	0.5	1/6	['B1', 'D#4', 'G#4']	['M17', 'M20', 'P4']	[0, 3, 7]	[8, 11, 3]
13	7/3	0.0625	1/6	['B1', 'B3', 'G#4']	['P15', 'M20', 'M6']	[0, 3]	[8, 11]
13	8/3	0.0625	1/6	['B1', 'D#4', 'G#4']	['M17', 'M20', 'P4']	[0, 3, 7]	[8, 11, 3]
13	3.0	0.5	0.5	['B1', 'A3', 'B3', 'F#4']	['m14', 'P15', 'P19', 'M2', 'M6', 'P5']	[0, 2, 5]	[6, 9, 11]
14	1.0	1.0	0.5	['E2', 'G#3', 'B3', 'E4', 'G#4']	['M10', 'P12', 'P15', 'M17', 'm3', 'm6', 'P8', 'P4', 'M6', 'M3']	[0, 3, 7]	[4, 8, 11]
14	2.0	0.5	0.5	['E2', 'E3', 'E4']	['P8', 'P15']	[0]	[4]
14	3.0	0.5	0.5	['G#2', 'B2', 'B3']	['m3', 'm10', 'P8']	[0, 3]	[8, 11]
15	1.0	1.0	1/6	['B2', 'B3', 'D#4']	['P8', 'M10', 'M3']	[0, 4]	[11, 3]
15	4/3	0.0625	1/6	['B2', 'A3', 'D#4']	['m7', 'M10', 'A4']	[0, 2, 6]	[9, 11, 3]
15	5/3	0.0625	1/6	['B2', 'B3', 'D#4']	['P8', 'M10', 'M3']	[0, 4]	[11, 3]
15	2.0	0.5	1/6	['B2', 'C#4', 'D#4']	['M9', 'M10', 'M2']	[0, 2, 4]	[11, 1, 3]
15	7/3	0.0625	1/6	['B2', 'B3', 'C#4']	['P8', 'M9', 'M2']	[0, 2]	[11, 1]
15	8/3	0.0625	1/6	['B2', 'C#4', 'D#4']	['M9', 'M10', 'M2']	[0, 2, 4]	[11, 1, 3]
15	3.0	0.5	0.5	['B1', 'A3', 'B3', 'F#4']	['m14', 'P15', 'P19', 'M2', 'M6', 'P5']	[0, 2, 5]	[6, 9, 11]
16	1.0	1.0	1.0	['E2', 'G#3', 'B3', 'E4']	['M10', 'P12', 'P15', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
16	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
17	1.0	1.0	1/6	['C#2', 'C#4', 'C#5']	['P15', 'P22', 'P8']	[0]	[1]
17	4/3	0.0625	1/6	['C#2', 'B3', 'C#5']	['m14', 'P22', 'M9']	[0, 2]	[11, 1]
17	5/3	0.0625	1/6	['C#2', 'C#4', 'C#5']	['P15', 'P22', 'P8']	[0]	[1]
17	2.0	0.5	1/6	['C#2', 'E#4', 'C#5']	['M17', 'P22', 'm6']	[0, 4]	[1, 5]
17	7/3	0.0625	1/6	['C#2', 'C#4', 'C#5']	['P15', 'P22', 'P8']	[0]	[1]
17	8/3	0.0625	1/6	['C#2', 'E#4', 'C#5']	['M17', 'P22', 'm6']	[0, 4]	[1, 5]
17	3.0	0.5	0.5	['C#2', 'B3', 'C#4', 'G#4', 'B4']	['m14', 'P15', 'P19', 'm21', 'M2', 'M6', 'P8', 'P5', 'm7', 'm3']	[0, 2, 5]	[8, 11, 1]
18	1.0	1.0	0.75	['F#2', 'A3', 'C#4', 'F#4', 'A4']	['m10', 'P12', 'P15', 'm17', 'M3', 'M6', 'P8', 'P4', 'm6', 'm3']	[0, 3, 7]	[6, 9, 1]
18	2.5	0.25	0.25	['F#2', 'A3', 'C#4', 'F#4', 'G#4']	['m10', 'P12', 'P15', 'M16', 'M3', 'M6', 'M7', 'P4', 'P5', 'M2']	[0, 2, 3, 7]	[6, 8, 9, 1]
18	3.0	0.5	0.5	['F#4']	[]	[0]	[6]
19	1.0	1.0	1/6	['D#2', 'D#4', 'D#5']	['P15', 'P22', 'P8']	[0]	[3]
19	4/3	0.0625	1/6	['D#2', 'C#4', 'D#5']	['m14', 'P22', 'M9']	[0, 2]	[1, 3]
19	5/3	0.0625	1/6	['D#2', 'D#4', 'D#5']	['P15', 'P22', 'P8']	[0]	[3]
19	2.0	0.5	1/6	['D#2', 'F##4', 'D#5']	['M17', 'P22', 'm6']	[0, 4]	[3, 7]
19	7/3	0.0625	1/6	['D#2', 'D#4', 'D#5']	['P15', 'P22', 'P8']	[0]	[3]
19	8/3	0.0625	1/6	['D#2', 'F##4', 'D#5']	['M17', 'P22', 'm6']	[0, 4]	[3, 7]
19	3.0	0.5	0.5	['D#2', 'C#4', 'D#4', 'A#4', 'C#5']	['m14', 'P15', 'P19', 'm21', 'M2', 'M6', 'P8', 'P5', 'm7', 'm3']	[0, 2, 5]	[10, 1, 3]
20	1.0	1.0	1.0	['G#2', 'B3', 'D#4', 'G#4', 'B4']	['m10', 'P12', 'P15', 'm17', 'M3', 'M6', 'P8', 'P4', 'm6', 'm3']	[0, 3, 7]	[8, 11, 3]
20	3.0	0.5	0.5	['B2', 'A3', 'D#4', 'F#4', 'A4']	['m7', 'M10', 'P12', 'm14', 'A4', 'M6', 'P8', 'm3', 'd5']	[0, 2, 5, 8]	[3, 6, 9, 11]
21	1.0	1.0	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
21	4/3	0.0625	1/6	['B2', 'B3', 'G#4']	['P8', 'M13', 'M6']	[0, 3]	[8, 11]
21	5/3	0.0625	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
21	2.0	0.5	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
21	7/3	0.0625	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
21	8/3	0.0625	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
21	3.0	0.5	1/6	['B3', 'B4']	['P8']	[0]	[11]
21	10/3	0.0625	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
21	11/3	0.0625	1/6	['B3', 'B4']	['P8']	[0]	[11]
22	1.0	1.0	0.5	['E4', 'E5']	['P8']	[0]	[4]
22	2.0	0.5	0.5	['G#3', 'G#4']	['P8']	[0]	[8]
22	3.0	0.5	0.5	['A3', 'A4']	['P8']	[0]	[9]
23	1.0	1.0	0.75	['B1', 'F#3', 'B3', 'D#4', 'B4']	['P12', 'P15', 'M17', 'P22', 'P4', 'M6', 'P11', 'M3', 'P8', 'm6']	[0, 3, 7]	[11, 3, 6]
23	2.5	0.25	0.25	['B1', 'G#3', 'B3', 'E4', 'B4']	['M13', 'P15', 'P18', 'P22', 'm3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[4, 8, 11]
23	3.0	0.5	0.5	['B1', 'A3', 'B3', 'F#4', 'B4']	['m14', 'P15', 'P19', 'P22', 'M2', 'M6', 'M9', 'P5', 'P8', 'P4']	[0, 2, 5]	[6, 9, 11]
24	1.0	1.0	1.0	['E2', 'G#3', 'B3', 'E4']	['M10', 'P12', 'P15', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
24	3.0	0.5	0.5	['A#1', 'A#2', 'E4', 'G#4', 'C#5', 'E5']	['P8', 'd19', 'm21', 'm24', 'd26', 'd12', 'm14', 'm17', 'M3', 'M6', 'P4', 'm6', 'm3']	[0, 2, 5, 8]	[8, 10, 1, 4]
25	1.0	1.0	0.25	['B1', 'B2', 'E3', 'B3', 'G#4']	['P8', 'P11', 'P15', 'M20', 'P4', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[4, 8, 11]
25	1.5	0.25	0.25	['B1', 'B2', 'E3', 'B3', 'G#4']	['P8', 'P11', 'P15', 'M20', 'P4', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[4, 8, 11]
25	2.0	0.5	0.25	['B1', 'B2', 'E3', 'B3', 'G#4']	['P8', 'P11', 'P15', 'M20', 'P4', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[4, 8, 11]
25	2.5	0.25	0.25	['B1', 'B2', 'B3', 'G#4']	['P8', 'P15', 'M20', 'M13', 'M6']	[0, 3]	[8, 11]
25	3.0	0.5	0.25	['B1', 'B2', 'A3', 'D#4', 'F#4']	['P8', 'm14', 'M17', 'P19', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[3, 6, 9, 11]
25	3.5	0.25	0.25	['B1', 'B2', 'A3', 'D#4', 'F#4']	['P8', 'm14', 'M17', 'P19', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[3, 6, 9, 11]
26	1.0	1.0	1.0	['E1', 'E2', 'G#3', 'B3', 'E4']	['P8', 'M17', 'P19', 'P22', 'M10', 'P12', 'P15', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
26	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
27	1.0	1.0	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
27	4/3	0.0625	1/6	['B2', 'B3', 'B4']	['P8', 'P15']	[0]	[11]
27	5/3	0.0625	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
27	2.0	0.5	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
27	7/3	0.0625	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
27	8/3	0.0625	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
27	3.0	0.5	1/6	['B3', 'B4']	['P8']	[0]	[11]
27	10/3	0.0625	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
27	11/3	0.0625	1/6	['B3', 'B4']	['P8']	[0]	[11]
28	1.0	1.0	1.0	['E4', 'E5']	['P8']	[0]	[4]
28	3.0	0.5	0.25	['G#4']	[]	[0]	[8]
28	3.5	0.25	0.25	['G#4']	[]	[0]	[8]
29	1.0	1.0	1.0	['B1', 'A3', 'D#4', 'F#4', 'B4']	['m14', 'M17', 'P19', 'P22', 'A4', 'M6', 'M9', 'm3', 'm6', 'P4']	[0, 2, 5, 8]	[3, 6, 9, 11]
29	3.0	0.5	0.5	['B1', 'A3', 'D#4', 'F#4', 'B4']	['m14', 'M17', 'P19', 'P22', 'A4', 'M6', 'M9', 'm3', 'm6', 'P4']	[0, 2, 5, 8]	[3, 6, 9, 11]
30	1.0	1.0	1.0	['E2', 'G#3', 'E4', 'G#4']	['M10', 'P15', 'M17', 'm6', 'P8', 'M3']	[0, 4]	[4, 8]
30	3.0	0.5	0.25	['E4']	[]	[0]	[4]
30	3.5	0.25	0.25	['F#4']	[]	[0]	[6]
31	1.0	1.0	1/6	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
31	4/3	0.0625	1/6	['G#2', 'G#3', 'G#4']	['P8', 'P15']	[0]	[8]
31	5/3	0.0625	1/6	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
31	2.0	0.5	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
31	7/3	0.0625	1/12	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
31	2.5	0.25	1/12	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
31	8/3	0.0625	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
31	3.0	0.5	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
31	10/3	0.0625	1/6	['E3', 'E4', 'G#4']	['P8', 'M10', 'M3']	[0, 4]	[4, 8]
31	11/3	0.0625	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
32	1.0	1.0	0.75	['C#4', 'C#5']	['P8']	[0]	[1]
32	2.5	0.25	0.25	['C#4', 'G#4', 'C#5']	['P5', 'P8', 'P4']	[0, 5]	[8, 1]
32	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
33	1.0	1.0	1.0	['D#3', 'G#3', 'B3', 'D#4', 'B4']	['P4', 'm6', 'P8', 'm13', 'm3', 'P5', 'm10', 'M3']	[0, 3, 7]	[8, 11, 3]
33	3.0	0.5	0.5	['D#2', 'F##3', 'C#4', 'D#4', 'A#4']	['M10', 'm14', 'P15', 'P19', 'd5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[7, 10, 1, 3]
33	1.0	1.0	1.0	['D#4']	[]	[0]	[3]
34	1.0	1.0	1.0	['G#2', 'G#3', 'B3', 'D#4', 'G#4']	['P8', 'm10', 'P12', 'P15', 'm3', 'P5', 'M3', 'M6', 'P4']	[0, 3, 7]	[8, 11, 3]
34	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
35	1.0	1.0	1/6	['B1', 'B3', 'A4']	['P15', 'm21', 'm7']	[0, 2]	[9, 11]
35	4/3	0.0625	1/6	['B1', 'A3', 'A4']	['m14', 'm21', 'P8']	[0, 2]	[9, 11]
35	5/3	0.0625	1/6	['B1', 'B3', 'A4']	['P15', 'm21', 'm7']	[0, 2]	[9, 11]
35	2.0	0.5	1/6	['B1', 'D#4', 'G#4']	['M17', 'M20', 'P4']	[0, 3, 7]	[8, 11, 3]
35	7/3	0.0625	1/6	['B1', 'B3', 'G#4']	['P15', 'M20', 'M6']	[0, 3]	[8, 11]
35	8/3	0.0625	1/6	['B1', 'D#4', 'G#4']	['M17', 'M20', 'P4']	[0, 3, 7]	[8, 11, 3]
35	3.0	0.5	0.5	['B1', 'A3', 'B3', 'F#4']	['m14', 'P15', 'P19', 'M2', 'M6', 'P5']	[0, 2, 5]	[6, 9, 11]
36	1.0	1.0	0.5	['E2', 'G#3', 'B3', 'E4', 'G#4']	['M10', 'P12', 'P15', 'M17', 'm3', 'm6', 'P8', 'P4', 'M6', 'M3']	[0, 3, 7]	[4, 8, 11]
36	2.0	0.5	0.25	['E2', 'E3', 'E4', 'G#4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[4, 8]
36	2.5	0.25	0.25	['E2', 'E3', 'E4']	['P8', 'P15']	[0]	[4]
36	3.0	0.5	0.5	['G#2', 'B2', 'B3']	['m3', 'm10', 'P8']	[0, 3]	[8, 11]
37	1.0	1.0	1/6	['B2', 'B3', 'D#4']	['P8', 'M10', 'M3']	[0, 4]	[11, 3]
37	4/3	0.0625	1/6	['B2', 'A3', 'D#4']	['m7', 'M10', 'A4']	[0, 2, 6]	[9, 11, 3]
37	5/3	0.0625	1/6	['B2', 'B3', 'D#4']	['P8', 'M10', 'M3']	[0, 4]	[11, 3]
